text,labs
i highly recommend the restaurant based on our experience last night.,"[('night', None)]"
i would definently recommend this restaurant.,[]
i came into the city to try out this restaurant because a friend had recommended it to my husband.,[]
this place is a great stop for great food.,"[('stop', None), ('food', None)]"
this restaurant used to be pretty decent.,[]
"after reading the good reviews of this restaurant, i decided to give it a try with two friends.","[('reviews', None)]"
"the food is amazing, rich pastas and fresh doughy pizza.",[]
the entire dining experience was wonderful!,"[('dining experience', None)]"
i went there for lunch and it was not as good as i expected from the reviews i read.,[]
i found this restaurant to be one that truly values its patrons.,[]
it is the best deal in town for a monday night dinner at a fine restaurant.,"[('restaurant', None)]"
this is a fun restaurant to go to.,"[('restaurant', None)]"
went there and had a combination of different seafood dishes and appetizers.,"[('seafood dishes', None), ('appetizers', None)]"
i highly recommend visiting this restaurant and having dinner and drinks!,[]
everything about this restaurant was special.,"[('everything', None)]"
this is as good as neighborhood restaurants come.,[]
i recommend this place to everyone who asks me where to go for a good meal.,"[('meal', None)]"
"we all had the tasting menu and unlike some of the other reviews, i felt there was more than enough food.","[('reviews', None), ('food', None)]"
the food was pretty tradional but it was hot and good with large portions.,"[('portions', None)]"
it's simply the best meal in nyc.,"[('nyc', None)]"
the food was very expensive (we spent $160 for lunch for two) but extremely tasty.,[]
you get the sense that the people there care about their restaurant and about your experience and that is very nice.,[]
i thanked my friend who recommended me this restaurant and will certainly recommend it to others.,"[('others', None)]"
i recently went to this restaurant with some co-workers for lunch and had an amazing time.,"[('time', None)]"
the dinner menu is diverse and top-notch as well.,[]
the food looked very appetizing and delicious since it came on a variety of fancy plates.,"[('plates', None)]"
it is one the nicest outdoor restaurants i have ever seen in ny--i am from italy and this place rivals the ones in my country.,"[('restaurants', None)]"
it's a great place to pick up a cheap lunch or dinner.,"[('lunch', None), ('dinner', None), ('place', None)]"
scalina fedeli reminded me why service is so integral to fine dining.,"[('service', None), ('dining', None)]"
"not the greatest sushi place, but excellent for a $19.95 all you can eat.",[]
the food was average or above including some surprising tasty dishes.,[]
"overall the restaurant is more expensive than our other sushi favorites, but everything was delicious.","[('sushi favorites', None), ('everything', None)]"
great pizza for lunch place.,"[('pizza', None), ('lunch place', None)]"
"food is average, and i would say even the chain restaurant baluchi's tastes better.","[('tastes', None), ('food', None)]"
"i had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.","[('meal', None), ('wine', None), ('price range', None)]"
nice family owned traditional restaurant.,"[('family', None), ('restaurant', None)]"
they also do a great job for restaurant week.,"[('job', None), ('restaurant week', None)]"
i ate here a week ago and found most dishes average at best and too expensive.,[]
"came here for restaurant week, didn't save much, but it was still great.",[]
"after hearing a lot of great things about the restaurant, and passing by it on a daily basis, we decided to try.","[('basis', None), ('things', None)]"
"having not been home in the last 2 years may skew this reviewer a bit, but the food was tasty and spicy sans the oil that comes floating along at similar venues.","[('years', None), ('venues', None)]"
they've the best desserts and mixed drinks as well as snack foods.,"[('desserts', None), ('drinks', None), ('snack foods', None)]"
this little place definitely exceeded my expectations and you sure get a lot of food for your money.,"[('place', None)]"
"all the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",[]
"i found the food to be outstanding, particulary the salmon dish i had.",[]
they have some great entrees here as well.,"[('entrees', None)]"
"this is, by far, my favorite restaurant in nyc and i only wish it were more affordable so i could go more often!","[('restaurant', None), ('nyc', None)]"
i liked the food at this quasi-thai restaurant.,"[('restaurant', None)]"
the most fun restaurant i have ever been too!,"[('restaurant', None)]"
they treated us well and the food was extremely fresh and well-prepared.,[]
this is a consistently great place to dine for lunch or dinner.,"[('lunch', None), ('dinner', None), ('place', None)]"
"we made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school italian scenery with lots of fun stuff to admire.","[('lots', None), ('scenery', None), ('dinner reservations', None), ('school', None)]"
the buffet had a nice selection.,"[('selection', None)]"
this place has many different styles of pizza and they are all amazing.,"[('styles', None), ('pizza', None)]"
i was very disappointed with this restaurant.,[]
the all you can eat deal is truly amazing here.,[]
"still, try it once, since if you end up loving the food, it could be one of your best dining experiences.",[]
this dish is my favorite and i always get it when i go there and never get tired of it.,[]
we had a wonderful meal at naples 45 a month ago on a visit to nyc.,"[('meal', None), ('naples', None)]"
the menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.,"[('ways', None), ('seafood lovers', None)]"
i think i've had some the best meals of my life at minnow.,[]
what an amazing meal and experience!,"[('meal', None), ('experience', None)]"
although be warned their dinner menu to sit and take out prices are different.,"[('prices', None)]"
the food was actually aweful.,[]
"out of the hundreds of italian restaurants in queens, this is among the best.","[('queens', None), ('restaurants', None)]"
i would highly recommend this place to anyone who is looking for a fine indian dining experience that is definitely a value for your dollar.,"[('dining experience', None), ('dollar', None), ('anyone', None)]"
one of my favorite restaurants in the neighborhood.,"[('restaurants', None)]"
the only thing i moderately enjoyed was their grilled chicken special with edamame puree.,"[('chicken', None), ('thing', None), ('edamame puree', None)]"
"the dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest i've ever had).","[('sardines', None), ('shrimp', None), ('pistachio ice cream', None)]"
"rao is a good restaurant, but it's nothing special.","[('restaurant', None), ('nothing', None), ('rao', None)]"
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","[('captain', None), ('foods', None), ('ambiance', None), ('maze', None), ('star service', None), ('waiters', None)]"
the food was authentic.,[]
(and i have eaten my share) which impresses me for having such a large amount of people to serve.,"[('amount', None), ('people', None)]"
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,"[('restaurant', None), ('dinner meeting', None), ('place', None)]"
i've been frequenting the tasting room since it first arrived in the east village and i've never been disappointed.,"[('village', None)]"
"in fact, while leaving the place we saw two people looking at the menu, and i couldn't help telling them that the food was horrible.",[]
"compared to other shabu restaurants around town, this places wins hands-down.","[('restaurants', None), ('town', None)]"
the best burger i have had in the village.,[]
i have been twice to this restaurant.,[]
"the food is expensive, but worth every bite.","[('every bite', None)]"
"if you're not familiar with the cuisine, you may encounter problems ordering here and be sure to bring plenty of cash with you as they don't accept credit cards.","[('credit cards', None), ('plenty', None)]"
"nice restaurant overall, with classic upscale italian decor.","[('restaurant', None), ('decor', None)]"
"great selection of wine, and seafood.","[('wine', None), ('selection', None), ('seafood', None)]"
terrific menu full of unique rolls and special dishes.,"[('menu', None), ('dishes', None), ('rolls', None)]"
"super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!","[('bistro fare', None), ('jazz brunch', None), ('staff', None)]"
delicious simple food in nice outdoor atmosphere.,"[('atmosphere', None), ('food', None)]"
all in all the food was above average and i would return to see how they operate with four or less dinners.,"[('average', None)]"
excellent lunch buffet for only $6.95.,"[('lunch buffet', None)]"
"this restaurant is not worth the time, effort, or money to say the least.",[]
i love and i know gourmet food by excellence!,[]
the neighborhood was nice though so check out another restaurant instead.,"[('another restaurant', None)]"
it is by far my favorite restaurant in brooklyn.,"[('brooklyn', None)]"
just moved to the neighborhood and we've been trying all the west village sushi restaurants.,[]
"i took my girlfriend there for her birthday last night and we had a relaxing, really good meal.","[('meal', None), ('night', None)]"
the server was really cool and served us our food and drinks with a smile.,[]
"as a fan of thai, i have tried quite a few different restaurants in nyc and this one was definitely the worst.",[]
my husband and i have been there a couple of times and each time we sat at the sushi bar (chef yoshi) and ordered everything ala carte.,[]
i stumbled upon this great pizzeria as i explored my new neighborhood.,"[('pizzeria', None), ('neighborhood', None)]"
should you happen to be impressed by the cuisine definitely try it.,[]
not a great place for family or general dining.,"[('family', None), ('dining', None)]"
"as much as i like the food there, i can't bring myself to go back.",[]
i was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!,"[('cuisine', None), ('eastsider', None)]"
"great food, lt's of it, more then one person can eat!","[('person', None), ('food', None)]"
"small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.","[('salmon', None), ('entree', None), ('servings', None)]"
"this is definitely a place that provides the best experience, though, to both a-listers and people walking in off the street.",[]
"if i could rate the people this place would be off the charts - unfortunately - the pizza, sorry - not the best in nyc.",[]
the garlic mashed potatoes are hands down the best in the city!,[]
by far the best salad i have had in a fast food restaurant.,"[('food restaurant', None)]"
this place has realy fresh sushi and a nice large menu of japanese classic cuisine.,"[('cuisine', None), ('sushi', None), ('menu', None)]"
"great idea and base for restaurant, but work on the details, people who think this was good need to go back to the shore towns and rethink what it should have tasted like.","[('restaurant', None), ('base', None), ('need', None), ('idea', None)]"
we both opted for a pasta dish and they were served timely and fresh.,[]
"however, i do not understand the extraordinary hype about this restaurant.",[]
"while the ambiance and atmosphere were great, the food and service could have been a lot better.",[]
"i was turned on to this restaurant by a fellow foodie friend of mine, and have been going back regularly ever since.","[('mine', None), ('foodie friend', None)]"
big and soft as well as good lunch food.,[]
"be sure to try the seasonal, and always delicious, specials.","[('specials', None)]"
no gimmicks here -- the food speaks for itself in its freshness and preparation.,[]
"i have had so many dinners here and it's always been perfect - on a date with my husband, with my mom, with girlfriends and larger groups.","[('husband', None), ('mom', None), ('dinners', None), ('girlfriends', None), ('groups', None)]"
i ate here for the first time and absolutely loved it!,"[('time', None)]"
(besides that there should be more restaurants like it around the city).,"[('restaurants', None)]"
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"[('half', None)]"
i often go there to eat with my family.,"[('family', None)]"
"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.","[('restaurant', None), ('deal', None)]"
we visited orsay during ny restaurant week and tried their $35 menu.,"[('ny restaurant week', None)]"
"it was huge, delicious, fresh, and will be the reason we return.",[]
the restaurant is rather small but we were lucky to get a table quickly.,[]
could be pricey without a prix fixe meal.,[]
love the food.,[]
but they've done a really nice job of offering all the typical pizzeria faves plus some terrific specials like the godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual).,"[('tomato sauce', None), ('specials', None), ('pizzeria faves', None), ('job', None), ('pizza', None), ('crust', None)]"
i've been here 3 times for lunch and it is one of my favorites in the city.,[]
ou must try this restaurant.,"[('ou', None)]"
"this place started off a little iffy, but is now one of my favorite indian restaurants in nyc (and i'm indian, so i should know).","[('restaurants', None), ('nyc', None)]"
tasty but expensive.,[]
"this wasn't the expected menu comprised only of pad thai and tom yum soup, but i thought that was what made the place so special.","[('soup', None)]"
"the burger was great, also.",[]
"the staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!",[]
this has got to be one of the most overrated restaurants in brooklyn.,[]
my boyfriend and i recently had an early dinner at artisanal and was satisfied with our experience.,"[('experience', None), ('dinner', None)]"
this was the worst dining experience i've ever had.,[]
bleecker st pizza is the best!,[]
"i've been to this restaurant more than a dozen times and when i'm craving for pho, lemon grass chicken or beef cube on rice, this is the place to go.",[]
"i've been to at cafe spice probably 5-8 times, it is probably still the best indian restaurant around union square.","[('union square', None)]"
we won't go to this place again for a good meal.,"[('meal', None)]"
what i didn't like was how the food came right after it was ordered.,[]
food-awesome.,"[('food', None)]"
at first i was slightly skeptical because it was a sushi restaurant in the middle of nyc.,[]
"the food however, is what one might expect.",[]
all the food was hot tasty.,[]
the other night we had the $30 three course meal and everything was delicious - if i could of licked the plate clean i would of.,"[('everything', None), ('night', None)]"
they have a huge selection of different cream cheeses and all of their salads are great.,"[('selection', None), ('cream cheeses', None)]"
this place has got to be the best japanese restaurant in the new york area.,"[('york area', None)]"
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,"[('dessert', None), ('bouche', None)]"
we had a most unpleasant experience at this restaurant.,"[('experience', None)]"
"i live nearby and when they first opened, i ate there a lot.",[]
i would highly recommend this place to everyone for any occasion!,"[('everyone', None)]"
with the theater 2 blocks away we had a delicious meal in a beautiful room.,"[('meal', None), ('room', None)]"
food was ok - fish was cooked well.,"[('fish', None), ('food', None)]"
we had the lobster sandwich and it was fantastic.,[]
"despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.","[('menu', None), ('ultra', None), ('everything', None)]"
"so much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers.","[('bar food', None)]"
finally a reliable chinese restaurant!,"[('restaurant', None)]"
diner food at bistro prices is a bummer....,[]
"while certain staples are excellent (the burger, some of the pastas), the food is not really the point.","[('staples', None)]"
this is my favorite italian restaurant in all of new york city.,"[('restaurant', None), ('york city', None)]"
the food was spicy and delicious.,[]
"i have never eaten in the restaurant, however, upon reading the reviews i got take out last week.",[]
this restaurant used to be our regular thursday night dinner location.,[]
"while this is a pretty place in that overly cute french way, the food was insultingly horrible.","[('way', None), ('place', None)]"
you can get an excellent meal at most of the many indian restaurants on nearby lexington avenue for the cost of one the dainty dishes here.,"[('meal', None), ('restaurants', None), ('dishes', None), ('lexington avenue', None)]"
if your into thai..you cannot miss this great restaurant.,"[('restaurant', None)]"
we ended our great experience by having gulab jamun (dessert) recommended by the waiter.,"[('experience', None)]"
"this place is really trendi but they have forgotten about the most important part of a restaurant, the food.","[('part', None)]"
it's all about the food !!,[]
"with the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.","[('pepper', None)]"
"that is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.","[('taste', None), ('dishes', None)]"
"if you can handle that, it's a great place for a business dinner, fun with friends or simply a table for 2.",[]
"the owner is very friendly and a great guy, go try his pizza, you'll like it!","[('pizza', None)]"
wouldn't recomend it for dinner!,"[('dinner', None)]"
"if it isn't for the food (a+++), it must be the service or the ambience.",[]
lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there.,"[('bo restaurant', None)]"
"we figured we never had argentinian pizza before so we grabbed our lunch there, sharing a large pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.","[('pizza', None), ('pelligrino', None)]"
this is one great place to eat pizza more out but not a good place for take-out pizza.,"[('pizza', None), ('place', None)]"
you could get a much better dining experience for the same amount of money in a lot of other french bistros.,"[('dining experience', None), ('money', None), ('bistros', None), ('amount', None)]"
their wines by the glass are a great accompaniment and you can eat like a king with wine for under $30.,"[('accompaniment', None), ('wines', None)]"
the desserts are more appealing then stuffy overpriced french restaurants.,"[('restaurants', None)]"
i have to say i have never had a disapointing meal here.,[]
"i've had the lunch buffet at chennai a couple of times, when i have been in the neighborhood.",[]
it's a rather cramped and busy restaurant and it closes early.,"[('restaurant', None)]"
"fresh, authentic, french cuisine in substantial portions.","[('portions', None), ('cuisine', None)]"
"i'm no food critic, but i'd like to think i have a tiny bit of experience under my belt having lived in ny for the last 11 years.","[('years', None), ('experience', None), ('bit', None)]"
"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",[]
i have been about 4 times and have always had a great meal.,"[('meal', None)]"
"my friends and i experienced amazing cheese and a delicious, new summer menu at artisanal last night.","[('night', None), ('cheese', None), ('summer menu', None)]"
"the bread and lamb chops i had before the meal were quite good, however.",[]
"as a long-time patron of mamoun's, i always figured that i had found the best late night food spot in the city.","[('night food spot', None), ('time patron', None)]"
its a great place for a casual date or to entertain clients for lunch.,"[('lunch', None), ('clients', None), ('place', None), ('date', None)]"
"even if the food wasn't this good, the garden is a great place to sit outside and relax.",[]
we ate at this thai place following the reviews but very unhappy with the foods.,"[('place', None)]"
i've had pizza both times and the caprese salad appetizer.,[]
"great eats, good times.","[('times', None), ('eats', None)]"
"all in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.","[('sushi restaurants', None)]"
both the fresh mozzerella slices and the plain cheese slice are phenomenal.,"[('mozzerella slices', None), ('cheese slice', None)]"
we go on mondays for the prix fixe and our experience with the food has been comparable to blue ribbon.,"[('ribbon', None)]"
went to ottimo and was expecting outstanding pizza (as i love la pizza fresca).,"[('la pizza fresca', None)]"
the food was so-so.,[]
"the menu consisted of standard brassiere food, better then places like balthazar etc.","[('food', None)]"
"unless you are eating in the pizzeria side of this place, and are not in a rush, this place is a bad idea.","[('idea', None)]"
