text,labs
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","[('kitchen', None), ('food', None)]"
"not only was the food outstanding, but the little 'perks' were great.","[('perks', None)]"
he has visited thailand and is quite expert on the cuisine.,"[('cuisine', None)]"
"secondly, on this night the place was overwhelmed by upper east side ladies perfume.","[('side ladies perfume', None)]"
"i have eaten here a handful of times, for no reason besides sheer convenience.",[]
it is definitely special and affordable.,[]
i really liked this place.,[]
it was pretty inexpensive too.,[]
"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","[('people', None), ('experience', None), ('pickles', None), ('selection', None)]"
my suggestion is to eat family style because you'll want to try the other dishes.,"[('suggestion', None), ('dishes', None), ('family style', None)]"
worth visiting the 1st ave spot because it is the original store.,"[('store', None), ('ave spot', None)]"
"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers, we sat at the sushi bar to be closer to the action.","[('fridays', None), ('sushi lovers', None), ('floor', None)]"
"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","[('mussels', None), ('salad', None), ('puff pastry goat cheese', None), ('dressing', None), ('hanger steak au poivre', None)]"
it's a perfect place to have a amanzing indian food.,"[('place', None), ('food', None)]"
at the end you're left with a mild broth with noodles that you can slurp out of a cup.,"[('broth', None), ('noodles', None), ('cup', None)]"
i just wonder how you can have such a delicious meal for such little money.,"[('meal', None), ('money', None)]"
this is a consistently great place to dine for lunch or dinner.,"[('lunch', None), ('place', None), ('dinner', None)]"
try the lasagnette appetizer.,"[('lasagnette appetizer', None)]"
"i've been there a few times, and i usually end up sitting next to some pretty odd people.","[('people', None), ('times', None)]"
go here for a romantic dinner but not for an all out wow dining experience.,"[('dinner', None)]"
i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds.,"[('place', None), ('taste buds', None)]"
"if you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",[]
one thing i liked about this place is that i never felt rushed or pressured to give up my table ot incoming guests.,"[('guests', None), ('table', None)]"
this place is a great bargain.,"[('place', None)]"
we happened upon this place purely by accident and were pleased with the results.,"[('results', None)]"
we always have a delicious meal and always leave feeling satisfied.,"[('meal', None)]"
"dip the ingredients in with your chopsticks, swirl them around, and eat.","[('ingredients', None), ('chopsticks', None)]"
first went here to enjoy their garden terrace.,"[('garden terrace', None)]"
"everyone i have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.","[('mile', None)]"
sapphire is the only indian restaurant i go to when i'm in nyc.,"[('sapphire', None), ('restaurant', None)]"
i heartily recommend.,[]
all my co-workers were amazed at how small the dish was.,"[('co-workers', None)]"
"we ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",[]
this place is so much fun.,"[('place', None)]"
right off the l in brooklyn this is a nice cozy place with good pizza.,"[('pizza', None), ('place', None), ('brooklyn', None)]"
i also ordered for delivery and the restaurant forgot half the order.,[]
our server checked on us maybe twice during the entire meal.,"[('meal', None), ('server', None)]"
it's somewhere you can eat and be happy.,[]
"i have tried to make reservations, but both times, the hostess didn't have my name.","[('hostess', None), ('reservations', None), ('name', None)]"
i also recommend the rice dishes or the different varieties of congee (rice porridge).,"[('congee', None), ('rice dishes', None), ('varieties', None)]"
this was one of the best restaurants i've ever been to.,[]
this restaurant used to be pretty decent.,"[('restaurant', None)]"
