text,labs
i bought a hp pavilion dv4-1222nr laptop and have had so many problems with the computer.,"[('computer', None)]"
but while this is one big advantage (as you may know from the company s recent commercials) there are other things to consider before going with apple.,"[('things', None), ('commercials', None)]"
on the bright side at least i wasn't without my laptop for long this time!,"[('side', None)]"
"the one down side to it is that when i play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.","[('computer', None), ('side', None)]"
i have had the luxury (sarcasm) of owning 2 of these laptops.,[]
i love the operating system and the preloaded software.,[]
and these are some reasons you should get a macbook pro.,"[('macbook pro', None), ('reasons', None)]"
i purchased this laptop while on a business trip to keep up with my email.,"[('business trip', None), ('email', None)]"
-they lost my laptop for a month,[]
"this is my second laptop,and it is head and shoulders above my first.","[('shoulders', None), ('laptop', None), ('head', None)]"
"i mainly use it for email, internet, and managing personal files (pics, vids, etc.).","[('email', None), ('files', None), ('internet', None)]"
then after 4 or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running.,"[('hardware', None), ('computer running', None), ('charger', None)]"
i took it back to best buy where they were so helpful and immediately gave me a new one.,"[('one', None)]"
"it's so much easier to navigate through the operating system, to find files, and it runs a lot faster!","[('operating system', None), ('files', None)]"
the genius at the apple store advised me that there was nothing about my use of the computer that caused this failure.,[]
we'll save our money to replace it with a mac again!,"[('mac', None), ('money', None)]"
i had always used pcs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,"[('systems', None)]"
i continued to take the computer in again and they replaced the hard drive and mother board yet again.,"[('drive', None), ('computer', None), ('mother board', None)]"
i got a mac as my hs graduation gift.,[]
i have now had it for 1.5 months and love it.,[]
it turned out it's not really a problem to have a mac.,"[('mac', None)]"
"my daughter uses it for games, email, facebook, pictures and music.",[]
laptop is to be used like a netbook.,[]
after about a week i finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,[]
this laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,"[('laptop', None), ('dynamo', None), ('tutorials', None)]"
"i've owned every ""pro"" model apple laptop for the last 8 years, this is by far the worst one i've ever had.","[('model apple laptop', None)]"
i thought the white mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,"[('mac computers', None)]"
"don't waste their money, save it and but a mac.","[('money', None)]"
i now travel with this laptop and my work pc.,[]
both my husband and i have this model toshiba.,[]
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.","[('drive', None)]"
lots of preloaded software.,[]
"sony, acer, dell, packard bell and toshiba.",[]
have returned that laptop unused.,"[('laptop', None)]"
i got tired of buying laptops and having them stop working after a year.,"[('laptops', None)]"
"granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my mac boots up noticeably quicker.","[('laptops', None), ('desktops', None)]"
i was given a mac as a birthday present and couldn't be happier with it 3 years later.,"[('birthday', None)]"
i'm extremely happy with my purchase as i now have the portable power i have been looking for.,"[('purchase', None), ('power', None)]"
"it's applications are terrific, including the replacements for microsoft office.","[('replacements', None)]"
"you might think, i am new in this game, but i am a gadget lover, and have had more than 2 dozens laptops in the past 15 years, and none gets this hot, that fast.","[('game', None)]"
i really wanted a mac over a pc because i used a mac in high school.,"[('school', None)]"
"1) payed $2200 for a ""premium"" laptop",[]
do not purchase this laptop.,"[('laptop', None)]"
"the tech store i purchased this from sent it back,,,,,eventually i got a new or repaired machine approximately 3 weeks later.","[('machine', None)]"
"i will never again buy another acer, not will i buy gateway, or emachine as they are all from the same company.","[('gateway', None), ('acer', None), ('emachine', None)]"
"i thought learning the mac os would be hard, but it is easily picked up if you are familiar with a pc.","[('pc', None)]"
this is my first computer purchase,"[('computer purchase', None)]"
well i got this computer from best buy and i have had nothing but problems i bought the computer with a virus.....,[]
i decided i wanted a laptop so i went into the bby store.,[]
"in the three years i've had my macbook pro, i have never had a virus on my computer, and i do a lot of work on the internet.","[('macbook', None)]"
"i was ready to take it back for a refund, but the geek squad camed through and pointed me in the right direction to get it fixed.","[('direction', None)]"
"all the problems i have had with pc's are solved with a mac: the issue of overheating-my dell was always overheating and not working properly or simply shutting off, and the issue of viruses and contaminants-my hp completely quit working within2 years of purchasing it, with no inexpensive way of fixing it.","[('hp', None), ('way', None), ('dell', None)]"
in short i would never buy a compaq again.,"[('compaq', None)]"
once i removed all the software the laptop loads in 15-20 seconds.,[]
"yeah, of course smarty pants ""fix it now"")software - compared to the early 2011 edition i did see inbuilt applications crashing and it prompted me to send the report to apple (which i promptly did).","[('applications', None), ('report', None), ('apple', None), ('edition', None), ('course smarty pants', None)]"
"i think part of the problem with this computer is vista, yet i know vista isn't the entire issue because my latest purchase was my acer and it also has vista (i should have waited the few months to get the next operating system).","[('vista', None), ('operating system', None)]"
that whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,"[('experience', None), ('laptop', None)]"
"suffice it to say, my macbook pro keeps me going with its long battery life and blazing speed.","[('macbook', None), ('battery life', None)]"
"-i give up on my data, i just want a computer reasonably fast...",[]
the programs are esay to use and are quick to process this computer works like a charm.,"[('computer', None), ('programs', None), ('esay', None)]"
""" for one, i noticed that from turning on my mac to logging on only took about 25 seconds.",[]
"i use that alot on my desktop, so i am adjusting to not having it.",[]
if you have any creativity in you do yourself a favor and get a mac!,"[('mac', None)]"
congratulations asus for creating one big piece of dump which is my laptop.,"[('piece', None), ('asus', None)]"
i would definitely recommend checking out this laptop if you are in the market for one.,[]
its fast and another thing i like is that it has three usb ports.,[]
one of the smartest thing i did was take my time to compare laptops before making my purchase.,"[('time', None), ('laptops', None)]"
i have never had to shut down the computer unexpectedly and the computer has never froze on me.,"[('computer', None)]"
recommended to people as their first laptop.,"[('laptop', None)]"
so what if the laptops/mobile phones look chic and cool? the after sales support is terrible.,"[('phones', None), ('sales support', None)]"
i would easly reccomend this laptop to a friend.,"[('friend', None), ('laptop', None)]"
"i took the laptop home and not even a month later, i began to have problems with it.",[]
the whole experiece is horrible so save up and buy a better laptop.,"[('laptop', None), ('experiece', None)]"
i just bought this laptop 3 days ago.,[]
"three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.","[('system performance', None)]"
it is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on pc's.,"[('expense', None), ('pc', None)]"
"the notebook pc,toshiba qosmio is the best gift my father could have ever gotten me.",[]
"three weeks after i bought the netbook, the screen quit working.",[]
"the processor screams, and because of the unique way that apple osx 16 functions, most of the graphics are routed through the hardware rather than the software.","[('processor screams', None), ('way', None)]"
i feel that enough people have macs these days and that companies need to start making things more compatable than they used to be.,"[('people', None), ('things', None), ('companies', None)]"
my macbook was worth (after 3 years of use!) $375.,"[('macbook', None)]"
i have had a mac for 6 years and won't go back to pc.,"[('pc', None)]"
after about another month i had to send it in again to acer for repairs.,"[('repairs', None), ('acer', None)]"
"i'm just really happy that i waited to buy, because this thing kicks a$$!",[]
"the hewitt packard pavillion dv6700 was my first laptop, before this i had a dell desktop that i loved.","[('laptop', None), ('hewitt packard pavillion dv6700', None)]"
"it is loaded with programs that is of no good for the average user, that makes it run way to slow.","[('way', None), ('user', None)]"
its good for playing my apps on facebook or watching movies.,[]
be safe buy a sony.,"[('sony', None)]"
i bought this laptop on saturday and am completely in love with it!,[]
i needed a driver for my hp and they would not help me with out me paying over $50 for it.,[]
"if you don't like fingerprints, this might not be the laptop for you.","[('fingerprints', None)]"
"a coupla months later, they change my hard drive.","[('drive', None)]"
"the 13"" macbook pro is portable, durable, and very capable.","[('macbook pro', None)]"
i should have spent an extra hundred bucks and got a full sized computer.,"[('computer', None), ('bucks', None)]"
i own other macs but always find myself navigation to the macbook pro to get my work done.,"[('macs', None)]"
this is my 3rd apple laptop and first macbook pro.,"[('apple laptop', None), ('macbook pro', None)]"
i have had this laptop for a few months now and i would say im pretty satisfied.,"[('im', None)]"
the love part of my relationship with this laptop doesn't take very long.,"[('part', None), ('relationship', None)]"
"again, i sent it off to acer, by this time they were paying for me to send it to them and everything, but it was still inconvienent because of my classes and my communication with my fiance.","[('communication', None), ('classes', None)]"
"do i like the computer? well, other than not getting viruses, i guess it is ok.","[('viruses', None)]"
i waited and waited and no laptop.,[]
i bought this notebook and only had it for 3 months if it is overload with updates the boot mgr.,[]
best buy was great as always and accepted the return and gave me another model 1764.,"[('buy', None)]"
my friends or children use that when they need to borrow the net =) when i out grow this meaning when its old and my oldest child is ready for one she will get this one and i will be buying only toshiba!,"[('child', None), ('meaning', None)]"
"if you're not wanting to be mobile, this is a good laptop to sit on a desk.","[('laptop', None), ('desk', None)]"
"(beware, their staff could send you back making you feel that only they know what a computer is.","[('staff', None)]"
i took the computer back in yet again except this time they kept it to send into their geek squad headquarters.,"[('geek squad headquarters', None)]"
"thank god for ""ctrl z""bottom line, i've been using laptops since the mid 90s and probably the majority of brands out there.","[('majority', None), ('90s', None), ('line', None), ('brands', None)]"
me and my boyfriend bought the gateway nv78 in nov of 09.,[]
they ended up keeping my computer for almost 3 months!,[]
but i needed a laptop for school use.,[]
the only thing that i don't like about my mac is that sometimes there are programs that i want to be able to run and i am not able to.,"[('thing', None), ('programs', None), ('mac', None)]"
this is my second mac book pro.,"[('mac book pro', None)]"
"all the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.","[('things', None), ('trackpad', None)]"
i went right out and purchased another laptop.,[]
"long story short, since i experience so many problems with my laptop every since i bought it from day one, i didn't ask for a new laptop or a refund of what i pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.","[('products', None), ('deal', None), ('services', None), ('crapy laptop', None), ('calls', None), ('laptop warranty', None)]"
took the netbook on a vacation trip and i was able to do whatever i wanted to do without lugging a much heavier laptop.,"[('laptop', None)]"
it is truly a desktop replacement.,[]
i only used it to browse the internet and and i dont know how many times it has spontaniously shut down and it is just a blank screen now.,"[('times', None), ('internet', None)]"
handles all my basic media needs easily.,"[('media', None)]"
"all in all, i'm incredibly dissatisfied with this laptop, and with hp as a whole.","[('laptop', None)]"
4gb of ram...,[]
"before we got this laptop, had a compaq pasaro for 5 years with no problems.",[]
"the only problem is that i had to add 1 gb ram, the computer was kinda slow.","[('computer', None), ('gb ram', None)]"
"bigger hd, better graphics card, and a bid hd.",[]
i will be returning it and switching brands when i get to best buy.,[]
"after the first few months, the computer started crashing about every week.",[]
"before i bought my new i5, i did my research for about 2 weeks and determined to move for hp to apple for reliability, dependable, and long lasting operations.","[('apple', None), ('hp', None), ('reliability', None), ('i5', None)]"
and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.,"[('time', None), ('screen', None), ('page viewer', None), ('button', None)]"
"-stay away from apple, or hope you laptop does not break down.","[('apple', None)]"
it's a great prodcut to handle basic computing needs.,"[('prodcut', None), ('computing needs', None)]"
"great, quick laptop for the money.","[('laptop', None), ('money', None)]"
"one more tip, please purchase this model and get a 4gb stick of ram to save you $10","[('4gb stick', None), ('model', None), ('tip', None)]"
"by week two, my laptop had overheated and was completely dead even though i did not use it too much.",[]
my last laptop gave me a constant battle even though it was also completely new.,"[('laptop', None), ('battle', None)]"
i have been a mac user since the mid 90s.,"[('mac user', None), ('90s', None)]"
it has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,"[('hardrive', None), ('touch control buttons', None), ('keyboard', None)]"
after the bad experience with this computer went back to compaq.,"[('experience', None), ('computer', None), ('compaq', None)]"
"however, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the lcd).","[('hinge', None), ('girlfriend', None)]"
"i don't do any high tech stuff on it, just write papers, check mail, and sometimes play games, so i can't reccomend it if you are in the computer field.","[('games', None), ('tech stuff', None), ('mail', None), ('papers', None)]"
i have owned many computers and laptops.,"[('laptops', None), ('computers', None)]"
"i paid for extra memory and the 17-inch screen, as well as the top of the line dvd and cd burners.","[('memory', None), ('inch screen', None)]"
"its pretty fast and does not have hiccups while i am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.","[('hiccups', None)]"
"if i had to buy another computer, i would most definetly buy an acer one computer.","[('computer', None)]"
i previously owned an hp desktop and a dell laptop.,[]
my laptop is almost 2yrs old and i have never had any problems with it.,"[('laptop', None)]"
i've already recommended this laptop to a friend who eye'd the computer when i took it out of my bag.,[]
"i let my friend borrow it, and she knows nothing about computers, and she used it with ease.","[('friend', None)]"
"i had to call apple 19 times (each time 40 to 75 minutes on the phone), and take it to their store for evaluations, and diagnostics, 5 times.","[('store', None), ('times', None)]"
i respond that i do not have the old computer...,"[('computer', None)]"
"programs would crash all the time, and it turned out to be a very unstable, unreliable laptop for me.","[('programs', None)]"
"bought the first asus laptop in san francisco, returned it in santa maria, thinking it was just a problem with that computer.","[('computer', None), ('asus laptop', None)]"
